# time_s average_T_K sensor_T_K
0 289.692 290.15
10 289.345 290.15
20 289.323 290.15
30 289.321 290.15
40 289.363 290.15
50 289.414 290.15
60 289.475 290.15
70 289.538 290.151
80 289.602 290.152
90 289.665 290.155
100 289.727 290.159
110 289.787 290.165
120 289.846 290.174
130 289.902 290.186
140 289.956 290.201
150 290.008 290.219
160 290.058 290.241
170 290.106 290.266
180 290.153 290.293
190 290.198 290.324
200 290.241 290.357
210 290.282 290.392
220 290.322 290.429
230 290.361 290.469
240 290.398 290.51
250 290.434 290.552
260 290.469 290.596
270 290.503 290.64
280 290.536 290.686
290 290.568 290.732
300 290.599 290.779
310 290.629 290.826
320 290.658 290.873
330 290.687 290.92
340 290.715 290.967
350 290.742 291.015
360 290.768 291.062
370 290.793 291.109
380 290.818 291.155
390 290.843 291.201
400 290.867 291.247
410 290.89 291.292
420 290.913 291.337
430 290.935 291.381
440 290.957 291.425
450 290.978 291.468
460 290.999 291.51
470 291.02 291.552
480 291.04 291.592
490 291.059 291.633
500 291.079 291.672
510 291.098 291.711
520 291.116 291.749
530 291.134 291.786
540 291.152 291.823
550 291.17 291.859
560 291.187 291.894
570 291.204 291.929
580 291.221 291.962
590 291.237 291.995
600 291.253 292.028
610 291.269 292.059
620 291.284 292.09
630 291.3 292.121
640 291.315 292.15
650 291.329 292.179
660 291.344 292.207
670 291.358 292.235
680 291.372 292.262
690 291.386 292.288
700 291.4 292.314
710 291.413 292.339
720 291.426 292.364
730 291.439 292.388
740 291.452 292.412
750 291.464 292.435
760 291.477 292.457
770 291.489 292.479
780 291.501 292.5
790 291.513 292.521
800 291.525 292.541
810 291.536 292.561
820 291.547 292.581
830 291.558 292.6
840 291.569 292.618
850 291.58 292.636
860 291.591 292.654
870 291.601 292.671
880 291.612 292.688
890 291.622 292.704
900 291.632 292.72
910 291.642 292.736
920 291.651 292.751
930 291.661 292.766
940 291.67 292.781
950 291.68 292.795
960 291.689 292.809
970 291.698 292.823
980 291.707 292.836
990 291.716 292.849
1000 291.724 292.862
1010 291.733 292.874
1020 291.741 292.886
1030 291.75 292.898
1040 291.758 292.909
1050 291.766 292.921
1060 291.774 292.932
1070 291.782 292.942
1080 291.789 292.953
1090 291.797 292.963
1100 291.804 292.973
1110 291.812 292.983
1120 291.819 292.993
1130 291.826 293.002
1140 291.833 293.011
1150 291.84 293.02
1160 291.847 293.029
1170 291.854 293.038
1180 291.861 293.046
1190 291.867 293.054
1200 291.874 293.062
1210 291.88 293.07
1220 291.886 293.078
1230 291.893 293.085
1240 291.899 293.093
1250 291.905 293.1
1260 291.911 293.107
1270 291.917 293.114
1280 291.922 293.12
1290 291.928 293.127
1300 291.934 293.133
1310 291.939 293.14
1320 291.945 293.146
1330 291.95 293.152
1340 291.955 293.158
1350 291.961 293.164
1360 291.966 293.17
1370 291.971 293.175
1380 291.976 293.181
1390 291.981 293.186
1400 291.986 293.191
1410 291.99 293.196
1420 291.995 293.201
1430 292 293.206
1440 292.004 293.211
1450 292.009 293.216
1460 292.013 293.221
1470 292.018 293.225
1480 292.022 293.23
1490 292.027 293.234
1500 292.031 293.238
1510 292.035 293.242
1520 292.039 293.247
1530 292.043 293.251
1540 292.047 293.255
1550 292.051 293.259
1560 292.055 293.262
1570 292.059 293.266
1580 292.062 293.27
1590 292.066 293.273
1600 292.07 293.277
1610 292.073 293.28
1620 292.077 293.284
1630 292.081 293.287
1640 292.084 293.29
1650 292.087 293.294
1660 292.091 293.297
1670 292.094 293.3
1680 292.097 293.303
1690 292.101 293.306
1700 292.104 293.309
1710 292.107 293.312
1720 292.11 293.315
1730 292.113 293.317
1740 292.116 293.32
1750 292.119 293.323
1760 292.122 293.326
1770 292.125 293.328
1780 292.128 293.331
1790 292.13 293.333
1800 292.133 293.336
