# time_s average_T_K sensor_T_K
0 289.804 278.087
10 289.874 277.006
20 290.12 276.897
30 290.394 276.753
40 290.695 276.689
50 291.01 276.634
60 291.333 276.597
70 291.662 276.568
80 291.993 276.548
90 292.323 276.533
100 292.652 276.524
110 292.979 276.52
120 293.301 276.519
130 293.618 276.521
140 293.93 276.527
150 294.236 276.534
160 294.536 276.544
170 294.83 276.554
180 295.116 276.567
190 295.396 276.58
200 295.67 276.593
210 295.936 276.608
220 296.195 276.623
230 296.448 276.638
240 296.694 276.653
250 296.933 276.668
260 297.166 276.683
270 297.392 276.698
280 297.613 276.713
290 297.827 276.727
300 298.035 276.742
310 298.237 276.756
320 298.433 276.77
330 298.624 276.783
340 298.809 276.796
350 298.989 276.809
360 299.164 276.821
370 299.334 276.833
380 299.499 276.845
390 299.659 276.857
400 299.815 276.868
410 299.966 276.878
420 300.113 276.889
430 300.256 276.899
440 300.394 276.908
450 300.529 276.918
460 300.659 276.927
470 300.786 276.935
480 300.909 276.944
490 301.029 276.952
500 301.145 276.96
510 301.258 276.967
520 301.368 276.975
530 301.475 276.982
540 301.578 276.989
550 301.678 276.995
560 301.776 277.002
570 301.871 277.008
580 301.963 277.014
590 302.053 277.019
600 302.14 277.025
610 302.224 277.03
620 302.306 277.035
630 302.386 277.04
640 302.463 277.045
650 302.539 277.05
660 302.612 277.054
670 302.683 277.058
680 302.752 277.062
690 302.819 277.066
700 302.884 277.07
710 302.947 277.074
720 303.009 277.078
730 303.069 277.081
740 303.127 277.084
750 303.183 277.088
760 303.238 277.091
770 303.292 277.094
780 303.344 277.096
790 303.394 277.099
800 303.443 277.102
810 303.491 277.105
820 303.537 277.107
830 303.582 277.109
840 303.626 277.112
850 303.668 277.114
860 303.709 277.116
870 303.75 277.118
880 303.789 277.12
890 303.827 277.122
900 303.864 277.124
910 303.899 277.126
920 303.934 277.128
930 303.968 277.129
940 304.001 277.131
950 304.033 277.133
960 304.065 277.134
970 304.095 277.136
980 304.124 277.137
990 304.153 277.138
1000 304.181 277.14
1010 304.208 277.141
1020 304.234 277.142
1030 304.26 277.144
1040 304.285 277.145
1050 304.309 277.146
1060 304.332 277.147
1070 304.355 277.148
1080 304.378 277.149
1090 304.399 277.15
1100 304.42 277.151
1110 304.441 277.152
1120 304.461 277.153
1130 304.48 277.153
1140 304.499 277.154
1150 304.517 277.155
1160 304.535 277.156
1170 304.552 277.157
1180 304.569 277.157
1190 304.586 277.158
1200 304.602 277.159
1210 304.617 277.159
1220 304.632 277.16
1230 304.647 277.161
1240 304.661 277.161
1250 304.675 277.162
1260 304.688 277.162
1270 304.702 277.163
1280 304.714 277.163
1290 304.727 277.164
1300 304.739 277.164
1310 304.751 277.165
1320 304.762 277.165
1330 304.773 277.166
1340 304.784 277.166
1350 304.794 277.167
1360 304.805 277.167
1370 304.814 277.167
1380 304.824 277.168
1390 304.834 277.168
1400 304.843 277.168
1410 304.852 277.169
1420 304.86 277.169
1430 304.869 277.169
1440 304.877 277.17
1450 304.885 277.17
1460 304.893 277.17
1470 304.9 277.171
1480 304.907 277.171
1490 304.915 277.171
1500 304.922 277.171
1510 304.928 277.172
1520 304.935 277.172
1530 304.941 277.172
1540 304.947 277.172
1550 304.954 277.172
1560 304.959 277.173
1570 304.965 277.173
1580 304.971 277.173
1590 304.976 277.173
1600 304.981 277.173
1610 304.986 277.174
1620 304.991 277.174
1630 304.996 277.174
1640 305.001 277.174
1650 305.006 277.174
1660 305.01 277.174
1670 305.014 277.175
1680 305.019 277.175
1690 305.023 277.175
1700 305.027 277.175
1710 305.031 277.175
1720 305.034 277.175
1730 305.038 277.175
1740 305.042 277.175
1750 305.045 277.176
1760 305.049 277.176
1770 305.052 277.176
1780 305.055 277.176
1790 305.058 277.176
1800 305.061 277.176
